范围,方法,n,MAE,MAPE,偏差_预测减实际
合计,WD90,546,17.768657273282273,0.41259350392252014,10.756341394716394
合计,WIN7,546,16.53538147566719,0.3088091805807527,1.0526038723181577
合计,YOY,546,28.147390109890107,0.46723824539913755,-21.611265567765567
合计,BLEND,546,12.964336870819846,0.23842580473730635,0.8587274312816862
花叶类,WD90,91,33.104578005327994,0.22089226876598997,14.755497419247417
花叶类,WIN7,91,36.51807221350079,0.22594121588055754,2.359017268445841
花叶类,YOY,91,56.615714285714276,0.32312058785422765,-45.29301098901099
花叶类,BLEND,91,31.163291408942953,0.1933545690010232,2.1143361941800785
花菜类,WD90,91,8.946397685647687,0.49533122880417485,6.733774975024978
花菜类,WIN7,91,6.796805337519625,0.3301494508926069,0.39864521193092595
花菜类,YOY,91,9.426626373626375,0.4752797161334681,-1.4263626373626384
花菜类,BLEND,91,5.561745085662801,0.27184864506148576,0.3247049135596463
水生根茎类,WD90,91,11.189274225774227,0.8142336994600137,9.469911588411588
水生根茎类,WIN7,91,5.528419152276296,0.40325160415919964,0.09636263736263752
水生根茎类,YOY,91,9.29631868131868,0.5697705096159104,-6.8619670329670335
水生根茎类,BLEND,91,4.609043035533271,0.30779500850908287,-0.10163615117722495
茄类,WD90,91,7.0152735597735605,0.2938447330857535,-4.8573158508158505
茄类,WIN7,91,7.203248037676611,0.3397665138227579,-0.0807331240188386
茄类,YOY,91,9.083406593406593,0.4575576970166643,5.144747252747253
茄类,BLEND,91,5.719035304271436,0.27093683166930294,-0.2682919910487406
辣椒类,WD90,91,26.37585914085914,0.31254649613798197,21.582252913752914
辣椒类,WIN7,91,24.795470957613816,0.2700730492808858,1.6488901098901074
辣椒类,YOY,91,43.0469010989011,0.42665576118727117,-40.851296703296704
辣椒类,BLEND,91,17.95165085311306,0.1932544886440693,1.4380582375795758
食用菌,WD90,91,19.980561022311026,0.33871259728120656,16.853927322677322
食用菌,WIN7,91,18.370273155416015,0.28367324944850836,1.8934411302982719
食用菌,YOY,91,41.41537362637363,0.5510452005872837,-40.3797032967033
食用菌,BLEND,91,12.781255537395554,0.19336528553887397,1.64519338459678
