销售日期,品类,qty,星期
2020-07-01,水生根茎类,4.85,2
2020-07-02,水生根茎类,4.6,3
2020-07-03,水生根茎类,9.572000000000001,4
2020-07-04,水生根茎类,5.439,5
2020-07-05,水生根茎类,4.019,6
2020-07-06,水生根茎类,3.089,0
2020-07-07,水生根茎类,3.117,1
2020-07-08,水生根茎类,10.605,2
2020-07-09,水生根茎类,2.106,3
2020-07-10,水生根茎类,9.025,4
2020-07-11,水生根茎类,8.928,5
2020-07-12,水生根茎类,13.994,6
2020-07-13,水生根茎类,11.605,0
2020-07-14,水生根茎类,9.007,1
2020-07-15,水生根茎类,10.238,2
2020-07-16,水生根茎类,11.354,3
2020-07-17,水生根茎类,10.727,4
2020-07-18,水生根茎类,10.418,5
2020-07-19,水生根茎类,11.124,6
2020-07-20,水生根茎类,9.548,0
2020-07-21,水生根茎类,12.744,1
2020-07-22,水生根茎类,10.85,2
2020-07-23,水生根茎类,30.417,3
2020-07-24,水生根茎类,11.74,4
2020-07-25,水生根茎类,10.424,5
2020-07-26,水生根茎类,12.988,6
2020-07-27,水生根茎类,17.265,0
2020-07-28,水生根茎类,13.959,1
2020-07-29,水生根茎类,18.597,2
2020-07-30,水生根茎类,10.645,3
2020-07-31,水生根茎类,19.062,4
2020-08-01,水生根茎类,21.432,5
2020-08-02,水生根茎类,56.154,6
2020-08-03,水生根茎类,15.555,0
2020-08-04,水生根茎类,26.208,1
2020-08-05,水生根茎类,21.451999999999998,2
2020-08-06,水生根茎类,19.115000000000002,3
2020-08-07,水生根茎类,25.415,4
2020-08-08,水生根茎类,27.461,5
2020-08-09,水生根茎类,25.9,6
2020-08-10,水生根茎类,30.683,0
2020-08-11,水生根茎类,20.458,1
2020-08-12,水生根茎类,27.355,2
2020-08-13,水生根茎类,19.324,3
2020-08-14,水生根茎类,29.991,4
2020-08-15,水生根茎类,25.642,5
2020-08-16,水生根茎类,24.454,6
2020-08-17,水生根茎类,15.916,0
2020-08-18,水生根茎类,21.753,1
2020-08-19,水生根茎类,17.95,2
2020-08-20,水生根茎类,22.966,3
2020-08-21,水生根茎类,34.598,4
2020-08-22,水生根茎类,42.772,5
2020-08-23,水生根茎类,46.057,6
2020-08-24,水生根茎类,20.305,0
2020-08-25,水生根茎类,20.062,1
2020-08-26,水生根茎类,18.95,2
2020-08-27,水生根茎类,19.487000000000002,3
2020-08-28,水生根茎类,20.997,4
2020-08-29,水生根茎类,65.814,5
2020-08-30,水生根茎类,30.005,6
2020-08-31,水生根茎类,52.949,0
2020-09-01,水生根茎类,47.658,1
2020-09-02,水生根茎类,17.941,2
2020-09-03,水生根茎类,15.996,3
2020-09-04,水生根茎类,16.635,4
2020-09-05,水生根茎类,42.554,5
2020-09-06,水生根茎类,46.963,6
2020-09-07,水生根茎类,38.926,0
2020-09-08,水生根茎类,19.127,1
2020-09-09,水生根茎类,12.161,2
2020-09-10,水生根茎类,14.492,3
2020-09-11,水生根茎类,13.364,4
2020-09-12,水生根茎类,16.957,5
2020-09-13,水生根茎类,18.739,6
