单品编码,单品名称,分类名称,net,days,rev,cost,日均,硬池,损耗率(%),六月有售,份装
102900005115250,西峡花菇(1),食用菌,32.369,7,776.856,504.9564,4.624142857142857,True,10.8,True,False
102900005115762,苋菜,花叶类,62.461,7,238.2022,145.15502,8.923,True,18.52,True,False
102900005115779,云南生菜,花叶类,11.683,4,107.4836,67.05673999999999,1.669,False,15.25,True,False
102900005115786,竹叶菜,花叶类,93.077,7,350.438,216.6661,13.296714285714286,True,13.62,True,False
102900005115823,上海青,花叶类,27.029,7,216.232,111.63448,3.861285714285714,True,14.43,True,False
102900005115908,菜心,花叶类,8.877,4,53.262,40.89644,1.2681428571428572,False,13.7,True,False
102900005115946,木耳菜,花叶类,41.534,7,224.7282,133.76245,5.933428571428571,True,7.61,True,False
102900005115984,云南油麦菜,花叶类,5.098,3,36.705600000000004,22.305780000000002,0.7282857142857143,False,12.81,True,False
102900005116257,紫茄子(2),茄类,76.32,7,457.92,284.70095,10.902857142857142,True,6.07,True,False
102900005116509,青茄子(1),茄类,18.727,6,112.362,76.51584,2.6752857142857143,True,5.01,True,False
102900005116714,西兰花,花菜类,87.904,7,1085.4859999999999,682.33336,12.557714285714285,True,9.26,True,False
102900005116899,净藕(1),水生根茎类,42.184,7,603.976,452.86776,6.026285714285714,True,5.54,True,False
102900005118817,菠菜,花叶类,6.82,3,95.48,65.71485,0.9742857142857143,False,18.51,True,False
102900005118824,高瓜(1),水生根茎类,21.031,7,278.7216,242.92651,3.0044285714285714,True,29.25,True,False
102900005118831,娃娃菜,花叶类,73.0,7,477.5,347.28,10.428571428571429,True,2.48,True,False
102900005119975,红薯尖,花叶类,31.546,7,166.9488,99.48468,4.506571428571428,True,8.42,True,False
102900011000328,螺丝椒,辣椒类,47.897,7,545.5,362.18417,6.842428571428571,True,10.18,True,False
102900011001691,菱角,水生根茎类,12.224,6,171.136,112.06401,1.7462857142857142,False,9.61,True,False
102900011006948,外地茼蒿,花叶类,6.538,3,81.8856,53.969699999999996,0.934,False,26.16,True,False
102900011007969,红莲藕带,水生根茎类,4.596,7,42.283199999999994,25.68789,0.6565714285714286,False,16.63,True,False
102900011008164,奶白菜,花叶类,44.959,6,215.326,114.02564,6.422714285714286,True,15.68,True,False
102900011013274,白玉菇(袋),食用菌,4.0,4,22.799999999999997,14.01,0.5714285714285714,False,6.57,True,True
102900011016701,芜湖青椒(1),辣椒类,99.634,7,518.0968,335.43378,14.233428571428572,True,5.7,True,False
102900011018132,野生粉藕,水生根茎类,2.439,3,63.414,39.18475,0.3484285714285714,False,12.69,True,False
102900011022764,长线茄,茄类,29.501,7,354.012,206.06923,4.214428571428572,True,6.9,True,False
102900011023464,小青菜(1),花叶类,34.306,7,178.3912,97.07965,4.900857142857142,True,10.33,True,False
102900011030059,云南生菜(份),花叶类,226.0,7,1008.3,808.13,32.285714285714285,True,9.43,True,True
102900011030097,云南油麦菜(份),花叶类,149.0,7,619.7,427.56,21.285714285714285,True,9.43,True,True
102900011030110,菠菜(份),花叶类,49.0,5,270.0,202.61,7.0,True,9.43,True,True
102900011030929,鲜木耳(份),食用菌,4.0,1,9.7,5.2,0.5714285714285714,False,9.43,True,True
102900011031100,小米椒(份),辣椒类,150.0,7,865.4,322.34999999999997,21.428571428571427,True,9.43,True,True
102900011031926,虫草花(份),食用菌,16.0,7,57.8,42.660000000000004,2.2857142857142856,False,9.43,True,True
102900011032022,小皱皮(份),辣椒类,79.0,7,204.29999999999998,120.35,11.285714285714286,True,9.43,True,True
102900011032237,青线椒(份),辣椒类,2.0,2,8.6,5.66,0.2857142857142857,False,9.43,True,True
102900011032251,螺丝椒(份),辣椒类,79.0,7,388.90000000000003,262.94,11.285714285714286,True,9.43,True,True
102900011032343,七彩椒(2),辣椒类,7.302,6,139.6321,89.77297,1.0431428571428571,False,9.43,True,False
102900011032732,高瓜(2),水生根茎类,5.996,5,93.7296,80.7366,0.8565714285714287,False,9.43,True,False
102900011032848,姜蒜小米椒组合装(小份),辣椒类,49.0,7,231.39999999999998,120.48,7.0,True,9.43,True,False
102900011033982,紫茄子(1),茄类,1.024,2,9.216000000000001,4.44416,0.1462857142857143,False,9.43,True,False
102900011034026,枝江青梗散花,花菜类,25.203,4,324.1545,226.27154000000002,3.6004285714285715,True,9.43,True,False
102900011034330,双孢菇(盒),食用菌,70.0,7,352.1,238.18,10.0,True,0.2,True,True
102900011034439,青红杭椒组合装(份),辣椒类,15.0,7,82.39999999999999,48.16,2.142857142857143,False,9.43,True,True
102900011035078,红椒(2),辣椒类,14.25,7,267.92,185.00455,2.0357142857142856,False,9.43,True,False
102900011035740,蟹味菇与白玉菇双拼(盒),食用菌,8.0,4,36.0,26.0,1.1428571428571428,False,0.84,True,True
102900011036686,木耳菜(份),花叶类,3.0,3,10.1,4.7,0.42857142857142855,False,9.43,True,True
102900051000463,圆茄子(2),茄类,7.443,6,44.4044,28.11259,1.0632857142857142,False,6.71,True,False
102900051000944,洪湖藕带,水生根茎类,28.232,7,593.359,508.176,4.033142857142857,True,24.05,True,False
106949711300259,金针菇(盒),食用菌,113.0,7,212.4,164.23,16.142857142857142,True,0.45,True,True
106971533450003,海鲜菇(包),食用菌,62.0,7,170.4,121.11,8.857142857142858,True,0.0,True,True
