单品编码,单品名称,品类,n日,pearson_价_量
102900005115168,牛首生菜,花叶类,12,-0.45523521178913406
102900005115199,四川红香椿,花叶类,36,-0.26325250736969746
102900005115250,西峡花菇(1),食用菌,132,-0.11183778792076819
102900005115625,本地小毛白菜,花叶类,47,-0.18812554211410318
102900005115762,苋菜,花叶类,184,-0.561311625830472
102900005115779,云南生菜,花叶类,90,-0.22222297870487384
102900005115786,竹叶菜,花叶类,207,-0.6348083847476766
102900005115793,小白菜,花叶类,52,-0.12915231904583577
102900005115823,上海青,花叶类,197,-0.08832156636993473
102900005115878,茼蒿,花叶类,164,-0.16670860337939775
102900005115885,蔡甸藜蒿,花叶类,52,-0.19256555536138203
102900005115908,菜心,花叶类,110,-0.30308864494627896
102900005115946,木耳菜,花叶类,161,0.19743762113933838
102900005115960,大白菜,花叶类,29,-0.1426925393909009
102900005115977,豌豆尖,花叶类,13,-0.4489551505104115
102900005115984,云南油麦菜,花叶类,62,-0.11594587303919442
102900005116219,红尖椒,辣椒类,21,-0.1337273768462756
102900005116226,青尖椒,辣椒类,22,-0.09488351580518439
102900005116233,红椒(1),辣椒类,40,0.3131471921084485
102900005116257,紫茄子(2),茄类,296,0.040955834175561534
102900005116509,青茄子(1),茄类,175,0.06618623210125786
102900005116530,西峡香菇(1),食用菌,220,-0.23821315893848635
102900005116547,金针菇(1),食用菌,10,0.3477413456221665
102900005116639,马齿苋,花叶类,29,-0.40135568922556614
102900005116714,西兰花,花菜类,351,-0.37503930473124414
102900005116790,黄心菜(1),花叶类,40,-0.18352117946154856
102900005116806,黑油菜,花叶类,26,0.1050036724060037
102900005116899,净藕(1),水生根茎类,341,0.04812566101333812
102900005116943,红杭椒,辣椒类,15,-0.03215589754279629
102900005117209,七彩椒(1),辣椒类,21,-0.16281246336558058
102900005118817,菠菜,花叶类,108,0.039135647432186726
102900005118824,高瓜(1),水生根茎类,149,0.008699941476683718
102900005118831,娃娃菜,花叶类,229,-0.28428749385453767
102900005119975,红薯尖,花叶类,133,-0.40319866531657655
102900005122654,枝江红菜苔,花叶类,118,-0.07784515899845734
102900005123880,灯笼椒(1),辣椒类,12,0.3401526075880131
102900005125808,小米椒,辣椒类,30,-0.5858877453623724
102900011000328,螺丝椒,辣椒类,138,0.168844600415345
102900011000571,随州泡泡青,花叶类,42,-0.30124758380074
102900011000861,红线椒,辣椒类,12,-0.661624879499339
102900011001219,红灯笼椒(1),辣椒类,27,-0.6146058426528702
102900011001561,莲蓬(个),水生根茎类,67,-0.2036228953025262
102900011001691,菱角,水生根茎类,80,-0.21187972597746954
102900011006948,外地茼蒿,花叶类,35,0.13668571621132106
102900011007044,银耳(朵),食用菌,101,-0.23589308286625865
102900011007464,紫苏,花叶类,36,-0.4173870983646198
102900011007471,薄荷叶,花叶类,21,-0.02476880288320528
102900011007969,红莲藕带,水生根茎类,58,0.13947918873645535
102900011008164,奶白菜,花叶类,153,-0.3392093223732454
102900011008515,面条菜,花叶类,18,-0.42389183896229277
102900011008522,甜白菜,花叶类,71,-0.25904203117726093
102900011009277,荸荠,水生根茎类,42,-0.20549629216100976
102900011009970,青梗散花,花菜类,14,0.1524797931828068
102900011010891,野藕(1),水生根茎类,152,-0.003350304696590275
102900011012482,茶树菇(袋),食用菌,48,-0.08599476933571923
102900011013274,白玉菇(袋),食用菌,252,0.1384335261471917
102900011016701,芜湖青椒(1),辣椒类,355,-0.23390867718577676
102900011021842,洪湖莲藕(粉藕),水生根茎类,226,0.16335918460620022
102900011022764,长线茄,茄类,91,0.20064611761432394
102900011022849,本地黄心油菜,花叶类,112,-0.37428468285154715
102900011023464,小青菜(1),花叶类,210,-0.31681413511997797
102900011027479,小皱皮,辣椒类,26,-0.03614235083412679
102900011029305,水果辣椒,辣椒类,29,-0.3281987334900895
102900011030059,云南生菜(份),花叶类,315,0.04535780317292343
102900011030097,云南油麦菜(份),花叶类,322,-0.07914053854819633
102900011030110,菠菜(份),花叶类,264,-0.14339940918250174
102900011030134,菜心(份),花叶类,158,-0.026283652605916186
102900011030141,上海青(份),花叶类,173,-0.1323950216041356
102900011030905,鱼腥草(份),花叶类,130,0.11786499524827028
102900011030912,海鲜菇(份),食用菌,152,-0.08121610537205132
102900011030929,鲜木耳(份),食用菌,182,-0.1872335602604233
