层,名称,总体日均,周六日均,比,品类
品类,水生根茎类,16.161615384615384,22.211538461538456,1.3743390083816829,
品类,花叶类,165.12375824175828,212.45046153846152,1.286613530364371,
品类,花菜类,22.797307692307694,31.17446153846154,1.3674624196514433,
品类,茄类,23.305725274725273,31.055153846153846,1.3325117961393254,
品类,辣椒类,96.03307692307692,135.61561538461538,1.4121760931730254,
品类,食用菌,69.54865934065934,102.53315384615385,1.474264994008464,
硬池SKU,西峡花菇(1),5.736703296703298,8.773615384615384,1.5293828059152552,食用菌
硬池SKU,苋菜,7.885670329670329,11.57876923076923,1.4683303697345025,花叶类
硬池SKU,竹叶菜,11.904835164835166,16.64123076923077,1.397854782432108,花叶类
硬池SKU,上海青,6.108252747252746,8.587692307692306,1.4059163336937417,花叶类
硬池SKU,木耳菜,3.5023956043956046,3.5896923076923075,1.0249248552011494,花叶类
硬池SKU,紫茄子(2),17.94571428571429,24.410384615384615,1.3602347739825846,茄类
硬池SKU,青茄子(1),1.8695934065934063,2.5053846153846155,1.3400692399475707,茄类
硬池SKU,西兰花,14.704637362637365,19.58453846153846,1.3318613698900397,花菜类
硬池SKU,净藕(1),6.403043956043956,9.737461538461538,1.520755066700762,水生根茎类
硬池SKU,高瓜(1),2.386021978021978,2.8775384615384616,1.2059983051471943,水生根茎类
硬池SKU,娃娃菜,15.164835164835164,18.307692307692307,1.2072463768115942,花叶类
硬池SKU,红薯尖,3.8443296703296705,4.375923076923076,1.1382798698811434,花叶类
硬池SKU,螺丝椒,6.718813186813189,8.090384615384615,1.2041389439526862,辣椒类
硬池SKU,奶白菜,7.168494505494507,9.499461538461539,1.3251682806174145,花叶类
硬池SKU,芜湖青椒(1),20.82202197802198,29.533615384615384,1.4183836428464367,辣椒类
硬池SKU,长线茄,2.3377582417582414,2.6146153846153846,1.1184284747292421,茄类
硬池SKU,小青菜(1),8.559527472527472,10.79130769230769,1.2607363814116264,花叶类
硬池SKU,云南生菜(份),35.59340659340659,44.46153846153846,1.2491509725223835,花叶类
硬池SKU,云南油麦菜(份),20.967032967032967,27.46153846153846,1.3097484276729559,花叶类
硬池SKU,菠菜(份),18.76923076923077,23.384615384615383,1.2459016393442621,花叶类
硬池SKU,小米椒(份),22.45054945054945,32.76923076923077,1.459618208516887,辣椒类
硬池SKU,小皱皮(份),11.89010989010989,15.076923076923077,1.2680221811460257,辣椒类
硬池SKU,螺丝椒(份),17.0989010989011,25.153846153846153,1.4710796915167095,辣椒类
硬池SKU,姜蒜小米椒组合装(小份),6.9010989010989015,10.384615384615385,1.5047770700636942,辣椒类
硬池SKU,枝江青梗散花,8.015285714285714,11.589923076923075,1.4459775346830437,花菜类
硬池SKU,双孢菇(盒),13.186813186813186,19.23076923076923,1.4583333333333333,食用菌
硬池SKU,洪湖藕带,2.4536813186813182,2.777230769230769,1.1318628658441008,水生根茎类
硬池SKU,金针菇(盒),28.923076923076923,45.46153846153846,1.5718085106382977,食用菌
硬池SKU,海鲜菇(包),10.417582417582418,13.538461538461538,1.2995780590717299,食用菌
