窗口,品类,n,pearson_加成_销量,加成_p50,销量_p50
全期,水生根茎类,1085,-0.19770502554261554,0.45908502775102367,30.194
全期,花叶类,1085,0.18454805003575522,0.6698504077180216,173.192
全期,花菜类,1084,0.1362180326279754,0.5241500861216191,34.072500000000005
全期,茄类,1050,0.05717800263841007,0.5687564469518801,18.8705
全期,辣椒类,1085,0.2721354236662548,0.5841404032392497,72.925
全期,食用菌,1085,-0.09000211593319392,0.5860434806140511,57.535
近365,水生根茎类,358,-0.012902856006201785,0.485548647743118,37.012
近365,花叶类,358,0.2835805924305732,0.6840195825972182,199.41750000000002
近365,花菜类,358,0.1652087281123874,0.5364151965051215,36.339
近365,茄类,324,0.16250837966737414,0.5961283952256374,15.1465
近365,辣椒类,358,0.10454263745660825,0.7433076756866711,110.916
近365,食用菌,358,0.14048102090170966,0.5368184417798838,81.7465
近90,水生根茎类,90,0.03911830876245448,0.4798780058334269,14.961500000000001
近90,花叶类,90,0.02033152636898664,0.4815409711250651,155.2335
近90,花菜类,90,-0.21831634074072517,0.4501382014776173,21.2935
近90,茄类,90,-0.06262203986416418,0.5927595160317695,21.8315
近90,辣椒类,90,-0.2099386467173825,0.7006483201557485,85.27600000000001
近90,食用菌,90,-0.030900722828524452,0.49330814124135414,62.6065
近30,水生根茎类,30,-0.07896525606813311,0.36000635691738925,15.934999999999999
近30,花叶类,30,0.34861822690905464,0.5182593644014165,138.503
近30,花菜类,30,-0.4569425385431101,0.4754555301599661,16.4345
近30,茄类,30,-0.2458197057017809,0.5927595160317695,23.201
近30,辣椒类,30,-0.36410202208873477,0.7089041874486735,82.2065
近30,食用菌,30,0.19250226893029657,0.48382556073249006,53.961
