年月,品类,月净销量合计_kg,日历天数,有销售天数,日均_按日历天数_kg,日均_按有销售天数_kg,日销量均值_日历补0_kg,日销量中位数_日历补0_kg,日销量P25_日历补0_kg,日销量P75_日历补0_kg,日销量标准差_日历补0_kg
2020-07,花叶类,6577.078,31,31,212.163806,212.163806,212.163806,199.984,190.8055,225.518,37.85299
2020-07,花菜类,1522.555,31,31,49.114677,49.114677,49.114677,45.433,40.2905,56.5415,11.976516
2020-07,水生根茎类,332.056,31,31,10.711484,10.711484,10.711484,10.605,8.9675,12.242,5.604705
2020-07,茄类,1365.551,31,31,44.050032,44.050032,44.050032,38.17,34.4195,52.416,14.746972
2020-07,辣椒类,2198.049,31,31,70.904806,70.904806,70.904806,67.35,59.9805,81.2955,15.440426
2020-07,食用菌,1617.836,31,31,52.188258,52.188258,52.188258,50.774,44.402,55.1375,11.152757
2020-08,花叶类,7261.517,31,31,234.242484,234.242484,234.242484,229.89,209.0675,247.863,34.904565
2020-08,花菜类,1748.658,31,31,56.408323,56.408323,56.408323,54.722,47.6145,59.4065,13.390907
2020-08,水生根茎类,867.18,31,31,27.973548,27.973548,27.973548,24.454,20.1835,29.998,12.342512
2020-08,茄类,1139.393,31,31,36.754613,36.754613,36.754613,34.019,30.3845,47.49,11.391916
2020-08,辣椒类,2822.344,31,31,91.043355,91.043355,91.043355,82.32,75.0,96.182,24.536807
2020-08,食用菌,1636.524,31,31,52.791097,52.791097,52.791097,50.458,45.5085,55.4425,12.227046
2020-09,花叶类,5668.902,30,30,188.9634,188.9634,188.9634,177.039,156.52525,223.44375,47.694108
2020-09,花菜类,1336.066,30,30,44.535533,44.535533,44.535533,40.048,32.6685,55.26775,15.760188
2020-09,水生根茎类,798.931,30,30,26.631033,26.631033,26.631033,18.9725,16.7155,38.6465,14.327842
2020-09,茄类,671.692,30,30,22.389733,22.389733,22.389733,21.1395,17.02825,26.213,7.187013
2020-09,辣椒类,1992.413,30,30,66.413767,66.413767,66.413767,55.466,50.04825,83.9075,22.984215
2020-09,食用菌,1642.881,30,30,54.7627,54.7627,54.7627,49.739,41.6345,63.29525,18.607618
2020-10,花叶类,6395.312,31,31,206.300387,206.300387,206.300387,190.238,168.1535,248.2585,51.404546
2020-10,花菜类,1644.963,31,31,53.063323,53.063323,53.063323,47.321,31.006,63.8075,26.41994
2020-10,水生根茎类,1344.118,31,31,43.358645,43.358645,43.358645,40.6,22.0005,56.2895,21.453216
2020-10,茄类,771.967,31,31,24.902161,24.902161,24.902161,22.221,14.5805,31.805,12.037585
2020-10,辣椒类,1908.944,31,31,61.578839,61.578839,61.578839,52.654,48.513,73.8735,16.132979
2020-10,食用菌,3000.532,31,31,96.791355,96.791355,96.791355,81.051,66.084,114.848,51.970933
2020-11,花叶类,6518.569,30,30,217.285633,217.285633,217.285633,207.5765,147.462,235.0925,81.905463
2020-11,花菜类,1943.391,30,30,64.7797,64.7797,64.7797,60.6165,44.87575,77.68225,29.079881
2020-11,水生根茎类,960.695,30,30,32.023167,32.023167,32.023167,23.0775,15.3595,43.19325,22.241235
2020-11,茄类,432.389,30,30,14.412967,14.412967,14.412967,13.548,10.854,16.666,4.668692
2020-11,辣椒类,1837.705,30,30,61.256833,61.256833,61.256833,59.0835,52.39675,70.119,13.715337
2020-11,食用菌,3281.028,30,30,109.3676,109.3676,109.3676,99.7875,71.443,128.8085,42.568045
2020-12,花叶类,6901.03,31,31,222.613871,222.613871,222.613871,212.51,173.488,271.858,64.468521
2020-12,花菜类,1235.596,31,31,39.857935,39.857935,39.857935,33.43,27.344,45.4195,18.686296
2020-12,水生根茎类,1896.154,31,31,61.166258,61.166258,61.166258,61.288,47.6055,74.66,20.246254
2020-12,茄类,408.995,31,31,13.193387,13.193387,13.193387,12.154,10.4325,14.721,3.499837
