年月,品类,n_否,pearson_否,n_是,pearson_是,n_不分打折,pearson_不分打折
2020-07,花叶类,12891,-0.152387,1263,-0.106441,14154,-0.149515
2020-07,花菜类,2967,-0.164178,247,-0.22687,3214,-0.163332
2020-07,水生根茎类,710,-0.13277,83,-0.250264,793,-0.145193
2020-07,茄类,2159,-0.154295,192,-0.126304,2351,-0.151312
2020-07,辣椒类,7331,-0.471216,514,-0.39597,7845,-0.466988
2020-07,食用菌,4823,-0.623278,416,-0.540369,5239,-0.615179
2020-08,花叶类,14721,-0.202621,308,-0.218133,15029,-0.202956
2020-08,花菜类,3727,-0.178615,108,-0.249717,3835,-0.179514
2020-08,水生根茎类,1608,-0.318245,18,-0.284842,1626,-0.317575
2020-08,茄类,2070,-0.098307,5,,2075,-0.098979
2020-08,辣椒类,9111,-0.304267,14,-0.607573,9125,-0.304998
2020-08,食用菌,4870,-0.656491,18,-0.395795,4888,-0.654094
2020-09,花叶类,11199,-0.145865,122,-0.061321,11321,-0.145318
2020-09,花菜类,2845,-0.229303,34,-0.336524,2879,-0.18651
2020-09,水生根茎类,1407,-0.248501,25,0.463153,1432,-0.244565
2020-09,茄类,1233,-0.23606,2,,1235,-0.234394
2020-09,辣椒类,6613,-0.267927,1,,6614,-0.238605
2020-09,食用菌,4650,-0.625834,22,-0.123843,4672,-0.610491
2020-10,花叶类,12023,-0.407418,64,0.069397,12087,-0.370897
2020-10,花菜类,3156,-0.283339,67,-0.01865,3223,-0.280155
2020-10,水生根茎类,1931,-0.162897,132,-0.37083,2063,-0.16044
2020-10,茄类,1438,-0.140534,0,,1438,-0.140534
2020-10,辣椒类,6528,-0.419685,0,,6528,-0.419685
2020-10,食用菌,6542,-0.595471,3,,6545,-0.595584
2020-11,花叶类,10366,-0.291158,51,-0.365803,10417,-0.290631
2020-11,花菜类,3627,-0.134655,0,,3627,-0.134655
2020-11,水生根茎类,1370,0.007072,123,,1493,-0.024212
2020-11,茄类,893,-0.104348,0,,893,-0.104348
2020-11,辣椒类,5691,-0.498152,0,,5691,-0.498152
2020-11,食用菌,5919,-0.636157,5,,5924,-0.635538
2020-12,花叶类,9329,-0.43235,62,-0.117317,9391,-0.430843
2020-12,花菜类,2515,-0.250878,8,,2523,-0.251417
2020-12,水生根茎类,2513,0.137495,267,0.01612,2780,0.101255
2020-12,茄类,881,0.033827,0,,881,0.033827
2020-12,辣椒类,4654,-0.396895,1,,4655,-0.39684
2020-12,食用菌,7107,-0.594296,239,-0.706522,7346,-0.596519
2021-01,花叶类,9856,-0.539975,92,-0.253331,9948,-0.537471
2021-01,花菜类,2646,-0.098841,66,-0.19508,2712,-0.099571
2021-01,水生根茎类,2461,0.118647,17,,2478,0.119588
2021-01,茄类,1082,0.000942,0,,1082,0.000942
2021-01,辣椒类,5351,-0.376748,295,0.105211,5646,-0.373186
2021-01,食用菌,6761,-0.719443,21,-0.207608,6782,-0.717966
2021-02,花叶类,9248,-0.350554,139,-0.579973,9387,-0.351296
2021-02,花菜类,2899,-0.000819,9,,2908,-0.001075
2021-02,水生根茎类,2229,0.153467,57,-0.129534,2286,0.135995
2021-02,茄类,1658,0.029149,0,,1658,0.029149
2021-02,辣椒类,10133,-0.4323,124,-0.334407,10257,-0.431205
2021-02,食用菌,6954,-0.659349,58,-0.322324,7012,-0.659694
2021-03,花叶类,9618,-0.241957,4,,9622,-0.242121
2021-03,花菜类,2379,-0.308088,0,,2379,-0.308088
2021-03,水生根茎类,1240,0.069875,0,,1240,0.069875
2021-03,茄类,1293,-0.016674,0,,1293,-0.016674
2021-03,辣椒类,7237,-0.377838,1,,7238,-0.377602
2021-03,食用菌,4500,-0.72733,96,-0.27427,4596,-0.727446
2021-04,花叶类,9243,-0.397431,92,-0.07837,9335,-0.395314
2021-04,花菜类,2673,-0.212701,29,,2702,-0.212685
2021-04,水生根茎类,784,-0.096222,8,,792,-0.093507
2021-04,茄类,1300,-0.080552,12,,1312,-0.085202
2021-04,辣椒类,5790,-0.436898,146,,5936,-0.435135
2021-04,食用菌,3248,-0.659305,47,-0.489988,3295,-0.658677
2021-05,花叶类,10896,-0.297288,100,0.068171,10996,-0.295446
2021-05,花菜类,2289,-0.164576,0,,2289,-0.164576
2021-05,水生根茎类,593,0.211052,0,,593,0.211052
2021-05,茄类,1435,-0.169435,16,,1451,-0.168275
2021-05,辣椒类,6846,-0.453964,31,-0.27826,6877,-0.453071
2021-05,食用菌,3143,-0.710065,62,-0.060403,3205,-0.708101
2021-06,花叶类,9878,-0.191066,18,-0.236527,9896,-0.191319
2021-06,花菜类,2281,-0.23007,56,0.070564,2337,-0.226109
2021-06,水生根茎类,884,-0.050216,0,,884,-0.050216
2021-06,茄类,1563,-0.186915,4,,1567,-0.189077
2021-06,辣椒类,6077,-0.386992,13,0.246734,6090,-0.382692
2021-06,食用菌,3267,-0.481818,83,-0.463016,3350,-0.480425
2021-07,花叶类,11256,-0.17691,460,-0.24519,11716,-0.174562
2021-07,花菜类,2483,-0.320303,478,-0.575357,2961,-0.317217
2021-07,水生根茎类,1023,-0.257109,143,-0.020034,1166,-0.250132
2021-07,茄类,1891,-0.071872,1,,1892,-0.072001
2021-07,辣椒类,5812,-0.386977,13,0.147325,5825,-0.387037
2021-07,食用菌,3200,-0.636475,34,-0.058378,3234,-0.63326
2021-08,花叶类,13858,-0.196471,329,-0.279021,14187,-0.208123
2021-08,花菜类,701,-0.007849,627,-0.308825,1328,0.012107
2021-08,水生根茎类,1255,-0.124996,747,-0.07028,2002,-0.113534
2021-08,茄类,1806,0.055624,138,0.020144,1944,0.055289
2021-08,辣椒类,6439,-0.305668,553,-0.069201,6992,-0.300142
2021-08,食用菌,3168,-0.635255,1301,-0.09268,4469,-0.664268
2021-09,花叶类,9215,-0.192281,1039,-0.558789,10254,-0.221621
2021-09,花菜类,1351,-0.426127,263,,1614,-0.381863
2021-09,水生根茎类,2100,0.017659,17,,2117,0.019454
