品类,极值类型,单品编码,单品名称,日期,批发价格(元/千克)
花叶类,min,102900005115823,上海青,2022-08-25,0.01
花叶类,min,102900005115779,云南生菜,2022-11-25,0.01
花叶类,max,102900011030417,洪山菜薹莲藕拼装礼盒,2023-01-11,141.0
花叶类,max,102900011030417,洪山菜薹莲藕拼装礼盒,2023-01-12,141.0
花叶类,max,102900011030417,洪山菜薹莲藕拼装礼盒,2023-01-23,141.0
花菜类,min,102900005116714,西兰花,2022-11-26,0.01
花菜类,max,102900005116714,西兰花,2021-10-25,14.38
花菜类,max,102900005116714,西兰花,2021-10-26,14.38
水生根茎类,min,102900011032732,高瓜(2),2022-12-13,0.01
水生根茎类,min,102900011035511,净藕(3),2022-12-13,0.01
水生根茎类,max,102900051000944,洪湖藕带,2021-05-23,38.78
茄类,min,102900011033975,青茄子(2),2023-01-10,0.01
茄类,max,102900011022764,长线茄,2022-03-01,15.82
辣椒类,min,102900005116233,红椒(1),2023-01-30,0.04
辣椒类,max,102900005125808,小米椒,2022-05-05,53.24
食用菌,min,102900011030608,牛排菇(盒),2022-08-19,0.1
食用菌,min,102900005116530,西峡香菇(1),2022-08-26,0.1
食用菌,min,102900011031858,金针菇(份),2022-08-27,0.1
食用菌,max,102900011010563,鸡枞菌,2020-09-24,80.0
食用菌,max,102900011010563,鸡枞菌,2020-09-25,80.0
食用菌,max,102900011010563,鸡枞菌,2020-09-26,80.0
