单品编码,单品名称,分类名称,窗口7天净销量_kg,销售天数,是否当天都有批发价,缺配天数
102900005115250,西峡花菇(1),食用菌,32.369,7,是,0
102900005115762,苋菜,花叶类,62.461,7,是,0
102900005115786,竹叶菜,花叶类,93.077,7,是,0
102900005115823,上海青,花叶类,27.029,7,是,0
102900005115946,木耳菜,花叶类,41.534,7,是,0
102900005116257,紫茄子(2),茄类,76.32,7,是,0
102900005116714,西兰花,花菜类,87.904,7,是,0
102900005116899,净藕(1),水生根茎类,42.184,7,是,0
102900005118824,高瓜(1),水生根茎类,21.031,7,是,0
102900005118831,娃娃菜,花叶类,73.0,7,是,0
102900005119975,红薯尖,花叶类,31.546,7,是,0
102900011000328,螺丝椒,辣椒类,47.897,7,是,0
102900011007969,红莲藕带,水生根茎类,4.596,7,是,0
102900011016701,芜湖青椒(1),辣椒类,99.634,7,是,0
102900011022764,长线茄,茄类,29.501,7,是,0
102900011023464,小青菜(1),花叶类,34.306,7,是,0
102900011030059,云南生菜(份),花叶类,226.0,7,是,0
102900011030097,云南油麦菜(份),花叶类,149.0,7,是,0
102900011031100,小米椒(份),辣椒类,150.0,7,是,0
102900011031926,虫草花(份),食用菌,16.0,7,是,0
102900011032022,小皱皮(份),辣椒类,79.0,7,是,0
102900011032251,螺丝椒(份),辣椒类,79.0,7,是,0
102900011032848,姜蒜小米椒组合装(小份),辣椒类,49.0,7,是,0
102900011034330,双孢菇(盒),食用菌,70.0,7,是,0
102900011034439,青红杭椒组合装(份),辣椒类,15.0,7,是,0
102900011035078,红椒(2),辣椒类,14.25,7,是,0
102900051000944,洪湖藕带,水生根茎类,28.232,7,是,0
106949711300259,金针菇(盒),食用菌,113.0,7,是,0
106971533450003,海鲜菇(包),食用菌,62.0,7,是,0
102900005116509,青茄子(1),茄类,18.727,6,是,0
102900011001691,菱角,水生根茎类,12.224,6,是,0
102900011008164,奶白菜,花叶类,44.959,6,是,0
102900011032343,七彩椒(2),辣椒类,7.302,6,是,0
102900051000463,圆茄子(2),茄类,7.443,6,是,0
102900011030110,菠菜(份),花叶类,49.0,5,是,0
102900011032732,高瓜(2),水生根茎类,5.996,5,是,0
102900005115779,云南生菜,花叶类,11.683,4,是,0
102900005115908,菜心,花叶类,8.877,4,是,0
102900011013274,白玉菇(袋),食用菌,4.0,4,是,0
102900011034026,枝江青梗散花,花菜类,25.203,4,是,0
102900011035740,蟹味菇与白玉菇双拼(盒),食用菌,8.0,4,是,0
102900005115984,云南油麦菜,花叶类,5.098,3,是,0
102900005118817,菠菜,花叶类,6.82,3,是,0
102900011006948,外地茼蒿,花叶类,6.538,3,是,0
102900011018132,野生粉藕,水生根茎类,2.439,3,是,0
102900011036686,木耳菜(份),花叶类,3.0,3,是,0
102900011032237,青线椒(份),辣椒类,2.0,2,是,0
102900011033982,紫茄子(1),茄类,1.024,2,是,0
102900011030929,鲜木耳(份),食用菌,4.0,1,是,0
