单品编码,单品名称,分类名称,退货行数,退货销量合计_kg,退货销量绝对值_kg,行数排名,绝对值销量排名
102900011016701,芜湖青椒(1),辣椒类,38,-17.41,17.41,1,3
102900005116714,西兰花,花菜类,36,-18.717,18.717,2,2
102900005116530,西峡香菇(1),食用菌,34,-8.873,8.873,3,9
102900005116899,净藕(1),水生根茎类,22,-17.019,17.019,4,4
102900005118831,娃娃菜,花叶类,18,-20.0,20.0,5,1
102900005115786,竹叶菜,花叶类,14,-6.194,6.194,6,14
102900011031100,小米椒(份),辣椒类,13,-14.0,14.0,7,6
102900051010455,黄白菜(2),花叶类,11,-5.693,5.693,8,18
102900011030059,云南生菜(份),花叶类,10,-10.0,10.0,9,7
102900005116257,紫茄子(2),茄类,10,-6.975,6.975,10,13
102900011030097,云南油麦菜(份),花叶类,8,-8.0,8.0,14,10
102900011033906,保康高山大白菜,花叶类,5,-16.316,16.316,28,5
102900005115960,大白菜,花叶类,4,-8.876,8.876,34,8
