单品编码,单品名称,分类名称,六月日均净销量_日历30补0_kg,六月销售天数,六月日销量标准差_日历30补0_kg,窗口7日净销量合计_kg,窗口销售天数
102900005115762,苋菜,花叶类,7.866933,30,4.039667,62.461,7
102900005115779,云南生菜,花叶类,1.524033,12,2.935623,11.683,4
102900005115786,竹叶菜,花叶类,14.447133,30,5.770143,93.077,7
102900005115823,上海青,花叶类,5.5341,30,3.110436,27.029,7
102900005115908,菜心,花叶类,1.0977,12,1.664089,8.877,4
102900005115946,木耳菜,花叶类,5.515533,30,1.964941,41.534,7
102900005115984,云南油麦菜,花叶类,0.169933,3,0.77588,5.098,3
102900005116639,马齿苋,花叶类,0.106,5,0.25614,0.0,0
102900005118817,菠菜,花叶类,0.227333,3,0.740656,6.82,3
102900005118831,娃娃菜,花叶类,11.1,30,5.880124,73.0,7
102900005119975,红薯尖,花叶类,6.335267,30,3.419137,31.546,7
102900011006948,外地茼蒿,花叶类,0.4049,5,1.016386,6.538,3
102900011007464,紫苏,花叶类,0.046367,1,0.253961,0.0,0
102900011007471,薄荷叶,花叶类,0.024867,1,0.1362,0.0,0
102900011008164,奶白菜,花叶类,11.656067,29,5.003218,44.959,6
102900011023464,小青菜(1),花叶类,6.556733,30,2.822467,34.306,7
102900011026618,艾蒿,花叶类,0.3292,3,1.078818,0.0,0
102900011030059,云南生菜(份),花叶类,36.833333,30,15.614059,226.0,7
102900011030097,云南油麦菜(份),花叶类,22.666667,30,6.671263,149.0,7
102900011030110,菠菜(份),花叶类,16.633333,28,8.294092,49.0,5
102900011031216,冰草(盒),花叶类,0.033333,1,0.182574,0.0,0
102900011033920,黄心菜(2),花叶类,2.076233,21,2.316611,0.0,0
102900011036686,木耳菜(份),花叶类,0.733333,20,0.583292,3.0,3
102900051010455,黄白菜(2),花叶类,0.0549,2,0.217668,0.0,0
106972776821582,鲜粽叶(袋)(3),花叶类,3.366667,17,8.062186,0.0,0
102900005116714,西兰花,花菜类,14.3493,30,5.016913,87.904,7
102900011009970,青梗散花,花菜类,0.234733,1,1.285687,0.0,0
102900011034026,枝江青梗散花,花菜类,3.188933,20,3.622905,25.203,4
102900005116899,净藕(1),水生根茎类,6.036033,30,2.766418,42.184,7
102900005118824,高瓜(1),水生根茎类,2.885267,28,1.950802,21.031,7
102900011001691,菱角,水生根茎类,1.023267,25,1.0207,12.224,6
102900011007969,红莲藕带,水生根茎类,1.001433,29,0.915922,4.596,7
102900011010891,野藕(1),水生根茎类,0.414533,5,1.088419,0.0,0
102900011018132,野生粉藕,水生根茎类,0.0813,3,0.294773,2.439,3
102900011032732,高瓜(2),水生根茎类,0.669333,17,0.752239,5.996,5
102900051000944,洪湖藕带,水生根茎类,4.915067,29,2.272279,28.232,7
102900005116257,紫茄子(2),茄类,15.734267,30,7.316706,76.32,7
102900005116509,青茄子(1),茄类,2.0137,20,2.608099,18.727,6
102900011022764,长线茄,茄类,6.231667,30,2.696812,29.501,7
102900011033982,紫茄子(1),茄类,0.371867,8,0.831925,1.024,2
102900051000463,圆茄子(2),茄类,1.292333,26,1.048827,7.443,6
102900011000328,螺丝椒,辣椒类,8.6031,30,3.173768,47.897,7
102900011016701,芜湖青椒(1),辣椒类,16.989833,30,5.750681,99.634,7
102900011031100,小米椒(份),辣椒类,22.866667,30,8.28265,150.0,7
102900011032022,小皱皮(份),辣椒类,14.7,30,6.422751,79.0,7
102900011032237,青线椒(份),辣椒类,0.566667,7,1.356551,2.0,2
102900011032251,螺丝椒(份),辣椒类,12.7,29,7.548236,79.0,7
102900011032343,七彩椒(2),辣椒类,1.9986,28,1.214488,7.302,6
102900011032848,姜蒜小米椒组合装(小份),辣椒类,7.666667,30,3.155,49.0,7
102900011034439,青红杭椒组合装(份),辣椒类,2.066667,20,2.049951,15.0,7
102900011035078,红椒(2),辣椒类,2.339567,30,1.253739,14.25,7
102900005115250,西峡花菇(1),食用菌,5.126767,30,2.323925,32.369,7
102900011013274,白玉菇(袋),食用菌,0.533333,13,0.730297,4.0,4
102900011030929,鲜木耳(份),食用菌,0.133333,1,0.730297,4.0,1
102900011031926,虫草花(份),食用菌,2.7,29,1.534657,16.0,7
102900011034330,双孢菇(盒),食用菌,13.366667,30,5.467669,70.0,7
102900011035740,蟹味菇与白玉菇双拼(盒),食用菌,1.166667,23,0.912871,8.0,4
102900051009336,虫草花,食用菌,0.006067,1,0.033229,0.0,0
106949711300259,金针菇(盒),食用菌,21.666667,30,10.293397,113.0,7
106971533450003,海鲜菇(包),食用菌,12.6,30,5.372985,62.0,7
