单品编码,单品名称,分类名称,窗口7日净销量合计_kg,窗口日均_日历7补0_kg,近30日均_日历补0_kg,近90日均_日历补0_kg,比值_窗口日均_近30,比值_窗口日均_近90
102900005115250,西峡花菇(1),食用菌,32.369,4.624143,5.126767,5.665,0.901961,0.816265
102900005115762,苋菜,花叶类,62.461,8.923,7.866933,7.842778,1.134241,1.137735
102900005115786,竹叶菜,花叶类,93.077,13.296714,14.447133,11.992311,0.92037,1.10877
102900005115823,上海青,花叶类,27.029,3.861286,5.5341,6.121689,0.697726,0.630755
102900005115946,木耳菜,花叶类,41.534,5.933429,5.515533,3.541311,1.075767,1.675489
102900005116257,紫茄子(2),茄类,76.32,10.902857,15.734267,17.931367,0.692937,0.608033
102900005116714,西兰花,花菜类,87.904,12.557714,14.3493,14.616511,0.875145,0.859146
102900005116899,净藕(1),水生根茎类,42.184,6.026286,6.036033,6.309889,0.998385,0.955054
102900005118824,高瓜(1),水生根茎类,21.031,3.004429,2.885267,2.384833,1.0413,1.259807
102900005118831,娃娃菜,花叶类,73.0,10.428571,11.1,15.133333,0.939511,0.689113
102900005119975,红薯尖,花叶类,31.546,4.506571,6.335267,3.887044,0.711347,1.159383
102900011000328,螺丝椒,辣椒类,47.897,6.842429,8.6031,6.793467,0.795345,1.007207
102900011007969,红莲藕带,水生根茎类,4.596,0.656571,1.001433,0.793322,0.655632,0.827623
102900011016701,芜湖青椒(1),辣椒类,99.634,14.233429,16.989833,20.670033,0.837762,0.688602
102900011022764,长线茄,茄类,29.501,4.214429,6.231667,2.363733,0.676292,1.782954
102900011023464,小青菜(1),花叶类,34.306,4.900857,6.556733,8.551078,0.747454,0.573127
102900011030059,云南生菜(份),花叶类,226.0,32.285714,36.833333,35.577778,0.876535,0.907469
102900011030097,云南油麦菜(份),花叶类,149.0,21.285714,22.666667,20.944444,0.939076,1.016294
102900011031100,小米椒(份),辣椒类,150.0,21.428571,22.866667,22.322222,0.93711,0.959966
102900011031926,虫草花(份),食用菌,16.0,2.285714,2.7,2.811111,0.846561,0.8131
102900011032022,小皱皮(份),辣椒类,79.0,11.285714,14.7,11.866667,0.767736,0.951043
102900011032251,螺丝椒(份),辣椒类,79.0,11.285714,12.7,16.855556,0.888639,0.669555
102900011032848,姜蒜小米椒组合装(小份),辣椒类,49.0,7.0,7.666667,6.877778,0.913043,1.017771
102900011034330,双孢菇(盒),食用菌,70.0,10.0,13.366667,13.1,0.74813,0.763359
102900011034439,青红杭椒组合装(份),辣椒类,15.0,2.142857,2.066667,2.922222,1.036866,0.733297
102900011035078,红椒(2),辣椒类,14.25,2.035714,2.339567,2.403556,0.870125,0.84696
102900051000944,洪湖藕带,水生根茎类,28.232,4.033143,4.915067,2.480944,0.820567,1.625648
106949711300259,金针菇(盒),食用菌,113.0,16.142857,21.666667,28.722222,0.745055,0.562034
106971533450003,海鲜菇(包),食用菌,62.0,8.857143,12.6,10.533333,0.702948,0.840868
102900005116509,青茄子(1),茄类,18.727,2.675286,2.0137,1.860644,1.328542,1.437827
102900011001691,菱角,水生根茎类,12.224,1.746286,1.023267,0.450289,1.706579,3.878145
102900011008164,奶白菜,花叶类,44.959,6.422714,11.656067,7.142211,0.551019,0.899261
102900011032343,七彩椒(2),辣椒类,7.302,1.043143,1.9986,1.784856,0.521937,0.584441
102900051000463,圆茄子(2),茄类,7.443,1.063286,1.292333,1.006511,0.822764,1.056407
102900011030110,菠菜(份),花叶类,49.0,7.0,16.633333,18.722222,0.420842,0.373887
102900011032732,高瓜(2),水生根茎类,5.996,0.856571,0.669333,0.233711,1.279738,3.665086
102900005115779,云南生菜,花叶类,11.683,1.669,1.524033,0.9881,1.09512,1.6891
102900005115908,菜心,花叶类,8.877,1.268143,1.0977,1.419711,1.155273,0.89324
102900011013274,白玉菇(袋),食用菌,4.0,0.571429,0.533333,1.4,1.071429,0.408163
102900011034026,枝江青梗散花,花菜类,25.203,3.600429,3.188933,7.966089,1.129039,0.451969
102900011035740,蟹味菇与白玉菇双拼(盒),食用菌,8.0,1.142857,1.166667,1.777778,0.979592,0.642857
102900005115984,云南油麦菜,花叶类,5.098,0.728286,0.169933,0.056644,4.285714,12.857143
102900005118817,菠菜,花叶类,6.82,0.974286,0.227333,0.075778,4.285714,12.857143
102900011006948,外地茼蒿,花叶类,6.538,0.934,0.4049,0.134967,2.306742,6.920227
102900011018132,野生粉藕,水生根茎类,2.439,0.348429,0.0813,0.0271,4.285714,12.857143
102900011036686,木耳菜(份),花叶类,3.0,0.428571,0.733333,0.3,0.584416,1.428571
102900011032237,青线椒(份),辣椒类,2.0,0.285714,0.566667,2.644444,0.504202,0.108043
102900011033982,紫茄子(1),茄类,1.024,0.146286,0.371867,0.142556,0.393382,1.026166
102900011030929,鲜木耳(份),食用菌,4.0,0.571429,0.133333,0.044444,4.285714,12.857143
