单品编码,单品名称,分类名称,n_有批发价天数,缺配天数,批发价_P25,批发价_P50,批发价_P75,批发价_7日均值,CV_std_over_mean
102900005115250,西峡花菇(1),食用菌,7,0,15.6,15.6,15.6,15.6,0.0
102900005115762,苋菜,花叶类,7,0,2.32,2.34,2.355,2.324286,0.023546
102900005115786,竹叶菜,花叶类,7,0,2.205,2.37,2.415,2.318571,0.056368
102900005115823,上海青,花叶类,7,0,4.08,4.08,4.105,4.121429,0.02154
102900005115946,木耳菜,花叶类,7,0,3.18,3.25,3.26,3.211429,0.025515
102900005116257,紫茄子(2),茄类,7,0,3.8,3.8,3.8,3.747143,0.037321
102900005116714,西兰花,花菜类,7,0,7.52,7.8,8.045,7.824286,0.047632
102900005116899,净藕(1),水生根茎类,7,0,10.6,10.64,11.0,10.745714,0.023462
102900005118824,高瓜(1),水生根茎类,7,0,11.47,11.65,11.67,11.54,0.019454
102900005118831,娃娃菜,花叶类,7,0,4.675,4.83,4.845,4.731429,0.03631
102900005119975,红薯尖,花叶类,7,0,2.795,3.44,3.6,3.204286,0.145354
102900011000328,螺丝椒,辣椒类,7,0,6.42,7.64,8.46,7.515714,0.158249
102900011007969,红莲藕带,水生根茎类,7,0,5.575,5.68,5.685,5.6,0.028084
102900011016701,芜湖青椒(1),辣椒类,7,0,3.35,3.46,3.535,3.384286,0.079302
102900011022764,长线茄,茄类,7,0,6.94,6.99,7.005,6.982857,0.006548
102900011023464,小青菜(1),花叶类,7,0,2.65,2.91,3.0,2.83,0.067014
102900011030059,云南生菜(份),花叶类,7,0,3.535,3.59,3.7,3.604286,0.050346
102900011030097,云南油麦菜(份),花叶类,7,0,2.82,2.86,2.9,2.864286,0.022613
102900011031100,小米椒(份),辣椒类,7,0,2.06,2.11,2.21,2.135714,0.064871
102900011031926,虫草花(份),食用菌,7,0,2.645,2.66,2.665,2.657143,0.013864
102900011032022,小皱皮(份),辣椒类,7,0,1.43,1.45,1.59,1.542857,0.181894
102900011032251,螺丝椒(份),辣椒类,7,0,2.855,2.93,3.63,3.277143,0.182923
102900011032848,姜蒜小米椒组合装(小份),辣椒类,7,0,2.29,2.33,2.615,2.437143,0.070463
102900011034330,双孢菇(盒),食用菌,7,0,3.395,3.4,3.41,3.402857,0.00327
102900011034439,青红杭椒组合装(份),辣椒类,7,0,3.01,3.32,3.4,3.231429,0.073589
102900011035078,红椒(2),辣椒类,7,0,12.79,12.8,12.86,12.897143,0.019731
102900051000944,洪湖藕带,水生根茎类,7,0,18.0,18.0,18.0,18.0,0.0
106949711300259,金针菇(盒),食用菌,7,0,1.45,1.45,1.46,1.452857,0.005203
106971533450003,海鲜菇(包),食用菌,7,0,1.95,1.95,1.96,1.954286,0.002735
102900005116509,青茄子(1),茄类,7,0,3.98,3.98,4.115,4.038571,0.018107
102900011001691,菱角,水生根茎类,6,1,9.165,9.18,9.18,9.173333,0.001641
102900011008164,奶白菜,花叶类,6,1,2.4325,2.515,2.5825,2.528333,0.049109
102900011032343,七彩椒(2),辣椒类,6,1,11.9225,12.03,12.43,12.211667,0.031764
102900051000463,圆茄子(2),茄类,7,0,3.42,4.4,4.425,4.095714,0.193578
102900011030110,菠菜(份),花叶类,5,2,4.07,4.13,4.19,4.098,0.029857
102900011032732,高瓜(2),水生根茎类,5,2,13.35,13.39,13.67,13.466,0.015161
102900005115779,云南生菜,花叶类,5,2,5.74,5.75,5.76,5.738,0.005832
102900005115908,菜心,花叶类,4,3,4.6,4.605,4.6125,4.6075,0.002078
102900011013274,白玉菇(袋),食用菌,4,3,3.5,3.57,3.5725,3.5025,0.04047
102900011034026,枝江青梗散花,花菜类,5,2,9.2,9.89,9.89,9.462,0.071146
102900011035740,蟹味菇与白玉菇双拼(盒),食用菌,4,3,3.12,3.14,3.23,3.21,0.048127
102900005115984,云南油麦菜,花叶类,3,4,3.57,4.48,4.48,3.873333,0.271285
102900005118817,菠菜,花叶类,6,1,9.6375,9.66,9.6675,9.653333,0.001929
102900011006948,外地茼蒿,花叶类,3,4,8.295,8.93,9.06,8.593333,0.095269
102900011018132,野生粉藕,水生根茎类,3,4,16.06,16.06,16.065,16.063333,0.000359
102900011036686,木耳菜(份),花叶类,3,4,1.495,1.53,1.62,1.566667,0.082321
102900011032237,青线椒(份),辣椒类,3,4,2.545,2.55,2.83,2.733333,0.119357
102900011033982,紫茄子(1),茄类,2,5,4.34,4.34,4.34,4.34,0.0
102900011030929,鲜木耳(份),食用菌,1,6,1.3,1.3,1.3,1.3,
