品类,星期几_code,星期几,天数,日均净销量_kg,日销量标准差_kg,同期总体日均_kg,相对总体
花叶类,0,周一,13,143.484538,30.498066,165.123758,0.868952
花叶类,1,周二,13,159.052077,22.934291,165.123758,0.96323
花叶类,2,周三,13,152.461,39.597688,165.123758,0.923314
花叶类,3,周四,13,129.344154,20.729183,165.123758,0.783316
花叶类,4,周五,13,152.229923,26.462589,165.123758,0.921914
花叶类,5,周六,13,212.450462,49.58932,165.123758,1.286614
花叶类,6,周日,13,206.844154,47.807763,165.123758,1.252661
花菜类,0,周一,13,17.957538,5.807904,22.797308,0.787704
花菜类,1,周二,13,18.248231,4.805171,22.797308,0.800456
花菜类,2,周三,13,20.626923,9.498198,22.797308,0.904796
花菜类,3,周四,13,19.764615,5.758437,22.797308,0.866971
花菜类,4,周五,13,21.811,6.362778,22.797308,0.956736
花菜类,5,周六,13,31.174462,9.042598,22.797308,1.367462
花菜类,6,周日,13,29.998385,11.129048,22.797308,1.315874
水生根茎类,0,周一,13,13.367538,6.527117,16.161615,0.827116
水生根茎类,1,周二,13,12.531231,3.818158,16.161615,0.77537
水生根茎类,2,周三,13,13.526462,6.554362,16.161615,0.83695
水生根茎类,3,周四,13,14.427615,8.355218,16.161615,0.892709
水生根茎类,4,周五,13,17.454692,5.396305,16.161615,1.080009
水生根茎类,5,周六,13,22.211538,5.285991,16.161615,1.374339
水生根茎类,6,周日,13,19.612231,5.561317,16.161615,1.213507
茄类,0,周一,13,21.692385,5.987725,23.305725,0.930775
茄类,1,周二,13,19.231308,6.554062,23.305725,0.825175
茄类,2,周三,13,19.080077,5.731958,23.305725,0.818686
茄类,3,周四,13,17.512615,7.288218,23.305725,0.75143
茄类,4,周五,13,21.575923,5.212697,23.305725,0.925778
茄类,5,周六,13,31.055154,9.102703,23.305725,1.332512
茄类,6,周日,13,32.992615,11.603338,23.305725,1.415644
辣椒类,0,周一,13,82.897692,21.400227,96.033077,0.86322
辣椒类,1,周二,13,81.087,16.608557,96.033077,0.844365
辣椒类,2,周三,13,80.313231,23.219401,96.033077,0.836308
辣椒类,3,周四,13,78.230154,17.130328,96.033077,0.814617
辣椒类,4,周五,13,86.085077,14.825379,96.033077,0.896411
辣椒类,5,周六,13,135.615615,29.301446,96.033077,1.412176
辣椒类,6,周日,13,128.002769,23.662395,96.033077,1.332903
食用菌,0,周一,13,56.948077,17.301337,69.548659,0.818824
食用菌,1,周二,13,57.391077,13.996379,69.548659,0.825193
食用菌,2,周三,13,60.627231,19.757548,69.548659,0.871724
食用菌,3,周四,13,53.647231,11.785484,69.548659,0.771363
食用菌,4,周五,13,66.568462,15.11817,69.548659,0.957149
食用菌,5,周六,13,102.533154,25.019627,69.548659,1.474265
食用菌,6,周日,13,89.125385,20.650021,69.548659,1.281482
