目标日,星期,品类,近90同星期日均_kg
2023-07-01,5,花叶类,212.78991666666664
2023-07-01,5,花菜类,30.849083333333336
2023-07-01,5,水生根茎类,21.82616666666667
2023-07-01,5,茄类,31.694083333333328
2023-07-01,5,辣椒类,134.00966666666665
2023-07-01,5,食用菌,102.63391666666666
2023-07-02,6,花叶类,206.84415384615383
2023-07-02,6,花菜类,29.998384615384616
2023-07-02,6,水生根茎类,19.61223076923077
2023-07-02,6,茄类,32.992615384615384
2023-07-02,6,辣椒类,128.00276923076925
2023-07-02,6,食用菌,89.12538461538462
2023-07-03,0,花叶类,143.48453846153848
2023-07-03,0,花菜类,17.957538461538462
2023-07-03,0,水生根茎类,13.36753846153846
2023-07-03,0,茄类,21.692384615384615
2023-07-03,0,辣椒类,82.89769230769231
2023-07-03,0,食用菌,56.948076923076925
2023-07-04,1,花叶类,159.05207692307692
2023-07-04,1,花菜类,18.248230769230766
2023-07-04,1,水生根茎类,12.53123076923077
2023-07-04,1,茄类,19.23130769230769
2023-07-04,1,辣椒类,81.08699999999999
2023-07-04,1,食用菌,57.39107692307691
2023-07-05,2,花叶类,152.461
2023-07-05,2,花菜类,20.62692307692308
2023-07-05,2,水生根茎类,13.526461538461538
2023-07-05,2,茄类,19.080076923076923
2023-07-05,2,辣椒类,80.31323076923078
2023-07-05,2,食用菌,60.62723076923078
2023-07-06,3,花叶类,129.34415384615386
2023-07-06,3,花菜类,19.76461538461539
2023-07-06,3,水生根茎类,14.427615384615384
2023-07-06,3,茄类,17.512615384615383
2023-07-06,3,辣椒类,78.23015384615385
2023-07-06,3,食用菌,53.64723076923077
2023-07-07,4,花叶类,152.2299230769231
2023-07-07,4,花菜类,21.811
2023-07-07,4,水生根茎类,17.45469230769231
2023-07-07,4,茄类,21.575923076923075
2023-07-07,4,辣椒类,86.08507692307691
2023-07-07,4,食用菌,66.56846153846153
