单品编码,单品名称,品类,窗口净销量_kg,销售天数,窗口日均_kg,日均是否>=2.5,单品损耗率pct,窗口批发价中位
102900005116899,净藕(1),水生根茎类,42.184000000000005,7,6.026285714285715,True,5.54,10.64
102900051000944,洪湖藕带,水生根茎类,28.23200000000001,7,4.033142857142859,True,24.05,18.0
102900005118824,高瓜(1),水生根茎类,21.031,7,3.0044285714285714,True,29.25,11.65
102900011001691,菱角,水生根茎类,12.224,6,1.7462857142857142,False,9.61,9.18
102900011032732,高瓜(2),水生根茎类,5.996,5,0.8565714285714287,False,9.43,13.39
102900011007969,红莲藕带,水生根茎类,4.596,7,0.6565714285714286,False,16.63,5.68
102900011018132,野生粉藕,水生根茎类,2.439,3,0.3484285714285714,False,12.69,16.06
102900011030059,云南生菜(份),花叶类,226.0,7,32.285714285714285,True,9.43,3.59
102900011030097,云南油麦菜(份),花叶类,149.0,7,21.285714285714285,True,9.43,2.86
102900005115786,竹叶菜,花叶类,93.07699999999996,7,13.296714285714279,True,13.62,2.37
102900005118831,娃娃菜,花叶类,73.0,7,10.428571428571429,True,2.48,4.83
102900005115762,苋菜,花叶类,62.46100000000001,7,8.923000000000002,True,18.52,2.34
102900011030110,菠菜(份),花叶类,49.0,5,7.0,True,9.43,4.13
102900011008164,奶白菜,花叶类,44.95899999999999,6,6.422714285714284,True,15.68,2.515
102900005115946,木耳菜,花叶类,41.533999999999985,7,5.9334285714285695,True,7.61,3.25
102900011023464,小青菜(1),花叶类,34.306000000000004,7,4.900857142857143,True,10.33,2.91
102900005119975,红薯尖,花叶类,31.54600000000001,7,4.50657142857143,True,8.42,3.44
102900005115823,上海青,花叶类,27.029,7,3.861285714285714,True,14.43,4.08
102900005115779,云南生菜,花叶类,11.682999999999998,4,1.6689999999999998,False,15.25,5.75
102900005115908,菜心,花叶类,8.877,4,1.2681428571428572,False,13.7,4.605
102900005118817,菠菜,花叶类,6.819999999999999,3,0.9742857142857142,False,18.51,9.63
102900011006948,外地茼蒿,花叶类,6.537999999999999,3,0.9339999999999999,False,26.16,8.93
102900005115984,云南油麦菜,花叶类,5.098,3,0.7282857142857143,False,12.81,4.48
102900011036686,木耳菜(份),花叶类,3.0,3,0.42857142857142855,False,9.43,1.53
102900005116714,西兰花,花菜类,87.90399999999997,7,12.557714285714281,True,9.26,7.8
102900011034026,枝江青梗散花,花菜类,25.203,4,3.6004285714285715,True,9.43,9.545
102900005116257,紫茄子(2),茄类,76.32000000000002,7,10.902857142857146,True,6.07,3.8
102900011022764,长线茄,茄类,29.500999999999998,7,4.214428571428571,True,6.9,6.99
102900005116509,青茄子(1),茄类,18.727,6,2.6752857142857143,True,5.01,4.045
102900051000463,圆茄子(2),茄类,7.4430000000000005,6,1.0632857142857144,False,6.71,4.025
102900011033982,紫茄子(1),茄类,1.024,2,0.1462857142857143,False,9.43,4.34
102900011031100,小米椒(份),辣椒类,150.0,7,21.428571428571427,True,9.43,2.11
102900011016701,芜湖青椒(1),辣椒类,99.63400000000004,7,14.233428571428577,True,5.7,3.46
102900011032022,小皱皮(份),辣椒类,79.0,7,11.285714285714286,True,9.43,1.45
102900011032251,螺丝椒(份),辣椒类,79.0,7,11.285714285714286,True,9.43,2.93
102900011032848,姜蒜小米椒组合装(小份),辣椒类,49.0,7,7.0,True,9.43,2.33
102900011000328,螺丝椒,辣椒类,47.89700000000001,7,6.842428571428573,True,10.18,7.64
102900011034439,青红杭椒组合装(份),辣椒类,15.0,7,2.142857142857143,False,9.43,3.32
102900011035078,红椒(2),辣椒类,14.250000000000002,7,2.035714285714286,False,9.43,12.8
102900011032343,七彩椒(2),辣椒类,7.302,6,1.0431428571428571,False,9.43,12.030000000000001
102900011032237,青线椒(份),辣椒类,2.0,2,0.2857142857142857,False,9.43,2.83
106949711300259,金针菇(盒),食用菌,113.0,7,16.142857142857142,True,0.45,1.45
102900011034330,双孢菇(盒),食用菌,70.0,7,10.0,True,0.2,3.4
106971533450003,海鲜菇(包),食用菌,62.0,7,8.857142857142858,True,0.0,1.95
102900005115250,西峡花菇(1),食用菌,32.369000000000014,7,4.624142857142859,True,10.8,15.6
102900011031926,虫草花(份),食用菌,16.0,7,2.2857142857142856,False,9.43,2.66
102900011035740,蟹味菇与白玉菇双拼(盒),食用菌,8.0,4,1.1428571428571428,False,0.84,3.14
102900011013274,白玉菇(袋),食用菌,4.0,4,0.5714285714285714,False,6.57,3.57
102900011030929,鲜木耳(份),食用菌,4.0,1,0.5714285714285714,False,9.43,1.3
