年,品类,周合计,日均
2020,水生根茎类,34.686,4.9551428571428575
2021,水生根茎类,104.385,14.912142857142857
2022,水生根茎类,244.437,34.91957142857143
2020,花叶类,1422.8209999999992,203.26014285714274
2021,花叶类,1177.0840000000007,168.15485714285725
2022,花叶类,1082.006,154.57228571428573
2020,花菜类,332.26500000000004,47.46642857142858
2021,花菜类,304.61199999999997,43.516
2022,花菜类,285.43500000000006,40.77642857142858
2020,茄类,285.19100000000003,40.74157142857143
2021,茄类,271.714,38.81628571428571
2022,茄类,145.974,20.85342857142857
2020,辣椒类,487.70500000000004,69.67214285714286
2021,辣椒类,376.16100000000006,53.737285714285726
2022,辣椒类,328.17400000000004,46.882000000000005
2020,食用菌,339.92999999999995,48.561428571428564
2021,食用菌,281.1670000000001,40.1667142857143
2022,食用菌,287.30699999999996,41.043857142857135
