年,日期,星期,品类,净销量_kg
2020,2020-07-01,2,花叶类,205.40199999999973
2020,2020-07-01,2,花菜类,46.64000000000003
2020,2020-07-01,2,水生根茎类,4.8500000000000005
2020,2020-07-01,2,茄类,35.373999999999995
2020,2020-07-01,2,辣椒类,76.71500000000003
2020,2020-07-01,2,食用菌,35.36500000000001
2020,2020-07-02,3,花叶类,198.36199999999985
2020,2020-07-02,3,花菜类,43.943000000000005
2020,2020-07-02,3,水生根茎类,4.6
2020,2020-07-02,3,茄类,32.199
2020,2020-07-02,3,辣椒类,66.06399999999998
2020,2020-07-02,3,食用菌,48.51000000000002
2020,2020-07-03,4,花叶类,190.77899999999997
2020,2020-07-03,4,花菜类,42.07599999999999
2020,2020-07-03,4,水生根茎类,9.572
2020,2020-07-03,4,茄类,35.89600000000002
2020,2020-07-03,4,辣椒类,64.25299999999999
2020,2020-07-03,4,食用菌,42.44199999999994
2020,2020-07-04,5,花叶类,236.5869999999997
2020,2020-07-04,5,花菜类,55.662
2020,2020-07-04,5,水生根茎类,5.439
2020,2020-07-04,5,茄类,57.06699999999999
2020,2020-07-04,5,辣椒类,81.28199999999997
2020,2020-07-04,5,食用菌,47.26199999999998
2020,2020-07-05,6,花叶类,223.899
2020,2020-07-05,6,花菜类,55.47400000000002
2020,2020-07-05,6,水生根茎类,4.019
2020,2020-07-05,6,茄类,61.81600000000001
2020,2020-07-05,6,辣椒类,98.496
2020,2020-07-05,6,食用菌,73.21300000000004
2020,2020-07-06,0,花叶类,195.73999999999992
2020,2020-07-06,0,花菜类,42.721
2020,2020-07-06,0,水生根茎类,3.0890000000000004
2020,2020-07-06,0,茄类,30.727000000000015
2020,2020-07-06,0,辣椒类,58.68200000000003
2020,2020-07-06,0,食用菌,40.57799999999998
2020,2020-07-07,1,花叶类,172.05200000000005
2020,2020-07-07,1,花菜类,45.74900000000001
2020,2020-07-07,1,水生根茎类,3.1170000000000004
2020,2020-07-07,1,茄类,32.112
2020,2020-07-07,1,辣椒类,42.21300000000003
2020,2020-07-07,1,食用菌,52.55999999999996
2021,2021-07-01,3,花叶类,148.5970000000002
2021,2021-07-01,3,花菜类,33.72
2021,2021-07-01,3,水生根茎类,8.512
2021,2021-07-01,3,茄类,26.278000000000002
2021,2021-07-01,3,辣椒类,54.567000000000014
2021,2021-07-01,3,食用菌,32.650000000000006
2021,2021-07-02,4,花叶类,133.58600000000013
2021,2021-07-02,4,花菜类,24.971999999999998
2021,2021-07-02,4,水生根茎类,10.79
2021,2021-07-02,4,茄类,28.564999999999998
2021,2021-07-02,4,辣椒类,51.785000000000004
2021,2021-07-02,4,食用菌,34.24700000000001
2021,2021-07-03,5,花叶类,197.92500000000004
2021,2021-07-03,5,花菜类,48.497000000000014
2021,2021-07-03,5,水生根茎类,29.657000000000004
2021,2021-07-03,5,茄类,47.28500000000002
2021,2021-07-03,5,辣椒类,73.55199999999999
2021,2021-07-03,5,食用菌,66.84900000000002
2021,2021-07-04,6,花叶类,197.32200000000012
2021,2021-07-04,6,花菜类,45.678999999999995
2021,2021-07-04,6,水生根茎类,24.214000000000002
2021,2021-07-04,6,茄类,39.241
2021,2021-07-04,6,辣椒类,57.58300000000001
2021,2021-07-04,6,食用菌,44.46600000000001
2021,2021-07-05,0,花叶类,176.27599999999995
2021,2021-07-05,0,花菜类,66.35499999999999
2021,2021-07-05,0,水生根茎类,14.947
2021,2021-07-05,0,茄类,49.588000000000015
2021,2021-07-05,0,辣椒类,53.877
2021,2021-07-05,0,食用菌,40.49100000000001
2021,2021-07-06,1,花叶类,173.86400000000012
2021,2021-07-06,1,花菜类,44.90099999999999
2021,2021-07-06,1,水生根茎类,7.861000000000001
2021,2021-07-06,1,茄类,49.00499999999998
2021,2021-07-06,1,辣椒类,46.553000000000004
2021,2021-07-06,1,食用菌,36.365000000000016
2021,2021-07-07,2,花叶类,149.51400000000015
2021,2021-07-07,2,花菜类,40.488
2021,2021-07-07,2,水生根茎类,8.404
2021,2021-07-07,2,茄类,31.752000000000002
2021,2021-07-07,2,辣椒类,38.244000000000035
2021,2021-07-07,2,食用菌,26.099000000000007
2022,2022-07-01,4,花叶类,149.7190000000001
2022,2022-07-01,4,花菜类,28.897000000000002
2022,2022-07-01,4,水生根茎类,15.086
2022,2022-07-01,4,茄类,17.165
2022,2022-07-01,4,辣椒类,25.326
2022,2022-07-01,4,食用菌,50.953
2022,2022-07-02,5,花叶类,195.29499999999987
2022,2022-07-02,5,花菜类,55.85100000000002
2022,2022-07-02,5,水生根茎类,28.667
2022,2022-07-02,5,茄类,27.47500000000001
2022,2022-07-02,5,辣椒类,55.99899999999999
2022,2022-07-02,5,食用菌,45.70399999999999
2022,2022-07-03,6,花叶类,188.67200000000008
2022,2022-07-03,6,花菜类,47.94399999999999
2022,2022-07-03,6,水生根茎类,63.873
2022,2022-07-03,6,茄类,42.36799999999998
2022,2022-07-03,6,辣椒类,58.67000000000002
2022,2022-07-03,6,食用菌,42.18
2022,2022-07-04,0,花叶类,116.605
2022,2022-07-04,0,花菜类,27.955000000000005
2022,2022-07-04,0,水生根茎类,20.218999999999998
2022,2022-07-04,0,茄类,17.802
2022,2022-07-04,0,辣椒类,47.45800000000004
2022,2022-07-04,0,食用菌,36.687999999999995
2022,2022-07-05,1,花叶类,133.21000000000006
2022,2022-07-05,1,花菜类,42.64000000000001
2022,2022-07-05,1,水生根茎类,34.507999999999996
2022,2022-07-05,1,茄类,17.523999999999994
2022,2022-07-05,1,辣椒类,49.72800000000001
2022,2022-07-05,1,食用菌,50.36699999999999
2022,2022-07-06,2,花叶类,164.4609999999999
2022,2022-07-06,2,花菜类,31.185999999999996
2022,2022-07-06,2,水生根茎类,39.01800000000001
2022,2022-07-06,2,茄类,9.038
2022,2022-07-06,2,辣椒类,51.11899999999998
2022,2022-07-06,2,食用菌,32.22599999999999
2022,2022-07-07,3,花叶类,134.044
2022,2022-07-07,3,花菜类,50.96200000000002
2022,2022-07-07,3,水生根茎类,43.06600000000002
2022,2022-07-07,3,茄类,14.601999999999999
2022,2022-07-07,3,辣椒类,39.873999999999995
2022,2022-07-07,3,食用菌,29.188999999999993
